order_id,order_date,customer_id,product_name,category,quantity,unit_price,region,sales_rep,total_sales
ORD000001,2024-10-16,CUST2679,Laptop,Electronics,2,1164.02,Central,Sarah Johnson,2328.04
ORD000002,2024-08-27,CUST1434,Basketball,Sports,5,36.17,Central,Lisa Brown,180.85000000000002
ORD000003,2024-10-27,CUST1106,Remote Car,Toys,3,50.66,South,Chris Anderson,151.98
ORD000004,2023-12-15,CUST2519,Vacuum Cleaner,Home & Garden,1,88.13,West,Sarah Johnson,88.13
ORD000005,2024-01-03,CUST9785,Kitchen Set,Home & Garden,4,101.42,North,Chris Anderson,405.68
ORD000006,2023-03-22,CUST4150,Biography,Books,3,43.18,North,John Smith,129.54
ORD000007,2024-11-08,CUST7227,Jacket,Clothing,1,148.08,East,Jessica Miller,148.08
ORD000008,2024-10-12,CUST2169,Vacuum Cleaner,Home & Garden,3,129.95,Central,Mike Davis,389.84999999999997
ORD000009,2024-06-30,CUST4598,Action Figure,Toys,5,28.89,East,John Smith,144.45
ORD000010,2023-08-23,CUST6155,Tablet,Electronics,5,721.51,South,Jessica Miller,3607.55
ORD000011,2024-02-10,CUST9830,Puzzle,Toys,5,27.14,East,Amanda White,135.7
ORD000012,2024-03-14,CUST9348,Self-Help,Books,58,24.48,West,Sarah Johnson,1419.84
ORD000013,2023-02-18,CUST2040,Smartphone,Electronics,4,1015.68,West,Chris Anderson,4062.72
ORD000014,2024-09-02,CUST2876,Bicycle,Sports,1,119.28,Central,David Wilson,119.28
ORD000015,2024-10-18,CUST5315,Coffee Maker,Home & Garden,1,109.25,Central,Mike Davis,109.25
ORD000016,2024-06-03,CUST4258,Smart Watch,Electronics,5,587.98,South,Emily Taylor,2939.9
ORD000017,2023-06-15,CUST1319,Textbook,Books,4,46.74,North,Emily Taylor,186.96
ORD000018,2023-11-11,CUST2403,T-Shirt,Clothing,1,51.31,West,Sarah Johnson,51.31
ORD000019,2024-06-29,CUST5342,Jeans,Clothing,2,105.77,Central,Amanda White,211.54
ORD000020,2024-03-09,CUST7537,Dress,Clothing,3,118.18,East,Jessica Miller,354.54
ORD000021,2024-06-13,CUST4770,Basketball,Sports,1,117.96,Central,Lisa Brown,117.96
